vehicle_id,type,lat,lng,base_risk,traffic_factor,anomaly_score,driver_fatigue,speed,fuel_level,route_name,convoy_id,convoy_size,convoy_rank,convoy_spacing_nm,sea_condition,sea_congestion,route_progress
V-00026,vehicle,14.267982,76.208069,0.2419,0.4071,0.1293,0.498,71.05,99.01,,,0,0,0.0,,0.0,0.0
V-00027,vehicle,14.724921,76.689183,0.1763,0.5432,0.1044,0.6352,60.99,71.12,,,0,0,0.0,,0.0,0.0
V-00028,vehicle,12.399396,75.940003,0.7283,0.8801,0.71,0.952,33.05,30.65,,,0,0,0.0,,0.0,0.0
V-00029,vehicle,25.185756,55.343211,0.268,0.3384,0.0809,0.3731,74.25,54.08,,,0,0,0.0,,0.0,0.0
V-00030,vehicle,13.461609,74.962028,0.1602,0.542,0.2071,0.5618,67.26,35.48,,,0,0,0.0,,0.0,0.0
V-00031,vehicle,14.296144,75.807898,0.9187,0.9613,0.5723,0.9052,33.4,24.85,,,0,0,0.0,,0.0,0.0
V-00032,vehicle,15.154727,76.920377,0.718,0.8517,0.7751,0.8066,42.53,63.09,,,0,0,0.0,,0.0,0.0
V-00033,vehicle,25.171411,55.289863,0.9391,0.8065,0.3325,0.6112,37.19,86.73,,,0,0,0.0,,0.0,0.0
V-00034,vehicle,15.018829,75.191254,0.1465,0.3637,0.1082,0.529,63.11,31.86,,,0,0,0.0,,0.0,0.0
V-00035,vehicle,15.566532,75.106717,0.1846,0.5103,0.2039,0.5255,51.99,28.68,,,0,0,0.0,,0.0,0.0
V-00036,vehicle,25.117202,55.3798,0.2248,0.2895,0.0156,0.4587,56.22,82.22,,,0,0,0.0,,0.0,0.0
V-00037,vehicle,13.077204,77.568564,0.3392,0.6206,0.205,0.7846,43.76,67.83,,,0,0,0.0,,0.0,0.0
V-00038,vehicle,12.833641,74.910217,0.4266,0.6628,0.2565,0.7549,52.72,60.1,,,0,0,0.0,,0.0,0.0
V-00039,vehicle,25.083884,55.110357,0.4494,0.2866,0.1633,0.3513,69.87,62.76,,,0,0,0.0,,0.0,0.0
V-00040,vehicle,12.717059,77.600605,0.4968,0.6503,0.1788,0.6703,40.14,32.14,,,0,0,0.0,,0.0,0.0
V-00041,vehicle,15.7047,74.543074,0.5948,0.6886,0.6237,0.8348,38.69,30.77,,,0,0,0.0,,0.0,0.0
V-00042,vehicle,15.745429,74.796121,0.1454,0.311,0.1137,0.489,71.3,42.67,,,0,0,0.0,,0.0,0.0
V-00043,vehicle,25.073882,55.302002,0.3954,0.2862,0.095,0.4658,52.09,83.95,,,0,0,0.0,,0.0,0.0
V-00044,ship,18.293168,64.458329,0.9866,0.6226,0.4278,0.1833,21.79,93.29,Karnataka-Oman-Dubai,CONVOY-007,4,3,2.16,rough,0.0,0.4984
V-00045,vehicle,14.749381,75.817047,0.1197,0.3781,0.1162,0.5456,59.01,60.88,,,0,0,0.0,,0.0,0.0
V-00046,vehicle,25.081119,55.375572,0.3761,0.331,0.0954,0.5152,63.86,46.05,,,0,0,0.0,,0.0,0.0
V-00047,vehicle,12.646769,77.486106,0.7658,0.9284,0.869,0.9114,34.76,83.7,,,0,0,0.0,,0.0,0.0
V-00048,vehicle,15.127032,76.376221,0.8586,0.9831,0.7071,0.7021,47.3,89.33,,,0,0,0.0,,0.0,0.0
V-00049,vehicle,13.521124,77.197408,0.5427,0.6142,0.1997,0.5793,60.71,98.91,,,0,0,0.0,,0.0,0.0
V-00050,vehicle,15.133786,74.994546,0.4317,0.552,0.2438,0.8283,40.37,77.67,,,0,0,0.0,,0.0,0.0
V-00051,vehicle,12.821129,76.9435,0.3517,0.7094,0.3304,0.7001,64.54,57.95,,,0,0,0.0,,0.0,0.0
V-00052,vehicle,14.645825,76.122402,0.6847,0.8262,0.39,0.7369,37.78,80.11,,,0,0,0.0,,0.0,0.0
V-00053,vehicle,13.001825,77.873223,0.1676,0.5,0.1944,0.4668,64.98,71.78,,,0,0,0.0,,0.0,0.0
V-00054,vehicle,14.354442,75.618877,0.3322,0.6827,0.3856,0.8469,40.49,99.79,,,0,0,0.0,,0.0,0.0
V-00055,vehicle,25.271188,55.31217,0.7644,0.5519,0.269,0.449,59.33,80.79,,,0,0,0.0,,0.0,0.0
V-00056,vehicle,12.52758,76.977216,0.3808,0.6342,0.3284,0.5835,45.26,73.19,,,0,0,0.0,,0.0,0.0
V-00057,vehicle,25.207329,55.241857,0.9449,0.7625,0.3027,0.4668,43.34,46.04,,,0,0,0.0,,0.0,0.0
V-00058,vehicle,15.192338,75.09052,0.2247,0.4889,0.0641,0.6179,50.68,43.44,,,0,0,0.0,,0.0,0.0
V-00059,vehicle,13.045582,75.42092,0.6014,0.595,0.3304,0.6671,45.26,74.23,,,0,0,0.0,,0.0,0.0
V-00060,vehicle,14.908688,76.198063,0.5041,0.8368,0.618,0.784,55.84,64.89,,,0,0,0.0,,0.0,0.0
V-00061,vehicle,25.285127,55.326898,0.358,0.4727,0.0924,0.4274,65.99,91.31,,,0,0,0.0,,0.0,0.0
V-00062,vehicle,12.865243,74.779112,0.5391,0.5437,0.3303,0.6581,55.12,80.54,,,0,0,0.0,,0.0,0.0
V-00063,vehicle,15.304876,74.558671,0.6138,0.5011,0.3628,0.6379,54.76,68.08,,,0,0,0.0,,0.0,0.0
V-00064,vehicle,12.454645,77.710036,0.7449,0.8002,0.895,0.8708,32.98,23.67,,,0,0,0.0,,0.0,0.0
V-00065,vehicle,14.827499,75.138149,0.7174,0.6758,0.3863,0.7767,39.3,92.41,,,0,0,0.0,,0.0,0.0
V-00066,vehicle,25.11564,55.398866,0.2475,0.269,0.0532,0.3184,58.23,99.11,,,0,0,0.0,,0.0,0.0
V-00067,vehicle,13.263786,75.346957,0.7843,0.9639,0.8416,0.7136,47.22,77.77,,,0,0,0.0,,0.0,0.0
V-00068,vehicle,13.001951,75.057018,0.8633,0.9606,0.7247,0.9669,34.52,84.83,,,0,0,0.0,,0.0,0.0
V-00069,vehicle,25.121437,55.143214,0.6187,0.3144,0.1084,0.427,62.71,86.3,,,0,0,0.0,,0.0,0.0
V-00070,vehicle,25.136837,55.423841,0.9896,0.5636,0.4478,0.4371,46.54,79.46,,,0,0,0.0,,0.0,0.0
V-00071,vehicle,12.030462,76.537874,0.5348,0.7117,0.2624,0.6674,56.73,89.77,,,0,0,0.0,,0.0,0.0
V-00072,vehicle,15.123967,74.441311,0.9329,0.885,0.6898,0.7755,48.58,85.91,,,0,0,0.0,,0.0,0.0
V-00073,vehicle,25.145064,55.297434,0.2388,0.266,0.0486,0.4959,56.08,77.73,,,0,0,0.0,,0.0,0.0
V-00074,ship,16.390144,67.156519,0.9746,0.5417,0.5276,0.1769,23.9,90.37,Karnataka-Oman-Dubai,CONVOY-019,5,5,1.6,rough,0.0,0.3383
V-00075,vehicle,12.725579,77.37134,0.7842,0.9281,0.5814,0.8156,33.5,20.55,,,0,0,0.0,,0.0,0.0
V-00076,vehicle,25.19259,55.254161,0.185,0.2303,0.0658,0.3472,59.53,29.57,,,0,0,0.0,,0.0,0.0
V-00077,vehicle,25.206236,55.268232,0.4655,0.3972,0.0517,0.3217,69.86,67.14,,,0,0,0.0,,0.0,0.0
V-00078,vehicle,14.291901,76.259546,0.2503,0.4768,0.0796,0.4568,76.83,96.47,,,0,0,0.0,,0.0,0.0
V-00079,vehicle,13.38007,77.463418,0.8763,0.805,0.9114,0.6742,42.65,94.24,,,0,0,0.0,,0.0,0.0
V-00080,vehicle,12.935571,75.119137,0.8019,0.9611,0.8642,0.9248,34.06,91.21,,,0,0,0.0,,0.0,0.0
V-00081,vehicle,14.334707,77.262822,0.1802,0.5713,0.0732,0.5395,79.7,25.78,,,0,0,0.0,,0.0,0.0
V-00082,vehicle,12.45322,74.59489,0.5532,0.7226,0.2592,0.8496,50.41,61.96,,,0,0,0.0,,0.0,0.0
V-00083,ship,18.729068,64.254658,0.4334,0.3007,0.1986,0.1405,10.76,47.29,Karnataka-MidSea-Dubai,CONVOY-167,4,2,1.39,calm,0.0,0.4899
V-00084,vehicle,13.04675,77.697741,0.5692,0.4833,0.2246,0.6357,60.8,34.97,,,0,0,0.0,,0.0,0.0
V-00085,vehicle,15.977589,74.322853,0.2723,0.4441,0.1462,0.5193,76.54,46.88,,,0,0,0.0,,0.0,0.0
V-00086,vehicle,25.121283,55.211955,0.297,0.2302,0.0776,0.4434,52.21,24.71,,,0,0,0.0,,0.0,0.0
V-00087,vehicle,13.023635,77.473986,0.8688,0.83,0.6366,0.8408,41.89,32.0,,,0,0,0.0,,0.0,0.0
V-00088,vehicle,25.184439,55.299082,0.167,0.1872,0.0948,0.3705,55.29,93.36,,,0,0,0.0,,0.0,0.0
V-00089,vehicle,14.755035,75.75469,0.9161,0.867,0.9723,0.7802,40.94,22.43,,,0,0,0.0,,0.0,0.0
V-00090,vehicle,15.089354,77.006391,0.2889,0.4639,0.352,0.6117,52.88,57.48,,,0,0,0.0,,0.0,0.0
V-00091,vehicle,15.038224,76.798029,0.8043,0.9294,0.8345,0.801,41.68,50.5,,,0,0,0.0,,0.0,0.0
V-00092,ship,18.142971,64.935292,0.8149,0.4308,0.3657,0.182,20.55,82.77,Karnataka-MidSea-Dubai,CONVOY-116,3,1,1.08,moderate,0.0,0.4474
V-00093,vehicle,12.584263,75.481493,0.9326,0.9951,0.5509,0.8453,35.05,24.54,,,0,0,0.0,,0.0,0.0
V-00094,vehicle,12.533671,76.892764,0.6043,0.6859,0.5523,0.6797,49.26,96.17,,,0,0,0.0,,0.0,0.0
V-00095,vehicle,25.061589,55.176059,0.9552,0.6331,0.4134,0.5431,38.99,79.71,,,0,0,0.0,,0.0,0.0
V-00096,vehicle,13.082028,77.684255,0.2829,0.4391,0.109,0.6276,67.56,44.59,,,0,0,0.0,,0.0,0.0
V-00097,vehicle,15.864343,74.315444,0.3299,0.5178,0.2859,0.4924,66.45,85.88,,,0,0,0.0,,0.0,0.0
V-00098,vehicle,25.11274,55.394384,0.5,0.4111,0.1689,0.3372,52.97,68.16,,,0,0,0.0,,0.0,0.0
V-00099,ship,21.035993,60.874664,0.1165,0.2063,0.1634,0.0263,22.96,64.75,Karnataka-MidSea-Dubai,CONVOY-241,4,3,0.92,moderate,0.0,0.6985
V-00100,vehicle,15.696961,75.207936,0.4531,0.6491,0.3367,0.7885,46.54,62.23,,,0,0,0.0,,0.0,0.0
V-00101,vehicle,15.194483,75.486719,0.3039,0.5241,0.3294,0.7142,47.46,92.57,,,0,0,0.0,,0.0,0.0
V-00102,vehicle,15.057032,74.857887,0.2016,0.5713,0.1141,0.6175,77.6,29.45,,,0,0,0.0,,0.0,0.0
V-00103,vehicle,12.963549,76.209642,0.8663,0.8527,0.8927,0.9598,35.38,60.59,,,0,0,0.0,,0.0,0.0
V-00104,vehicle,12.55456,77.022024,0.7347,0.9732,0.6932,1.0,33.3,34.26,,,0,0,0.0,,0.0,0.0
V-00105,vehicle,16.087493,74.875258,0.7239,0.7201,0.397,0.8414,37.83,33.62,,,0,0,0.0,,0.0,0.0
V-00106,vehicle,14.094222,75.800249,0.8139,0.9021,0.8665,0.8134,47.37,96.8,,,0,0,0.0,,0.0,0.0
V-00107,vehicle,15.286754,76.370788,0.2684,0.3306,0.122,0.6974,56.67,20.87,,,0,0,0.0,,0.0,0.0
V-00108,vehicle,12.749002,74.91591,0.6097,0.531,0.3569,0.6323,65.45,27.8,,,0,0,0.0,,0.0,0.0
V-00109,vehicle,13.106621,74.855723,0.2881,0.7286,0.2446,0.8092,54.06,41.29,,,0,0,0.0,,0.0,0.0
V-00110,vehicle,12.204184,76.981795,0.1844,0.5647,0.0606,0.4179,77.36,22.86,,,0,0,0.0,,0.0,0.0
V-00111,vehicle,15.231479,74.815454,0.7041,0.8361,0.816,0.9035,30.27,62.08,,,0,0,0.0,,0.0,0.0
V-00112,ship,19.332243,63.495143,0.964,0.5466,0.5564,0.2277,11.8,70.1,Karnataka-MidSea-Dubai,CONVOY-043,2,2,2.76,calm,0.0,0.5366
V-00113,vehicle,14.276233,75.661104,0.1293,0.5049,0.2018,0.4167,69.13,86.58,,,0,0,0.0,,0.0,0.0
V-00114,vehicle,13.829843,76.098467,0.7389,0.7015,0.4476,0.6392,52.96,39.15,,,0,0,0.0,,0.0,0.0
V-00115,ship,18.480758,64.759145,0.986,0.5834,0.447,0.122,19.36,49.06,Karnataka-MidSea-Dubai,CONVOY-069,4,4,1.66,calm,0.0,0.4565
V-00116,vehicle,12.770774,77.913207,0.1862,0.5,0.1788,0.5931,74.27,35.17,,,0,0,0.0,,0.0,0.0
V-00117,vehicle,12.930871,77.235573,0.2403,0.3558,0.1604,0.4989,79.12,59.43,,,0,0,0.0,,0.0,0.0
V-00118,vehicle,15.055574,74.665817,0.8513,0.8378,0.5768,0.8026,34.56,32.68,,,0,0,0.0,,0.0,0.0
V-00119,vehicle,14.345763,75.430177,0.4992,0.6375,0.2195,0.7567,44.97,91.94,,,0,0,0.0,,0.0,0.0
V-00120,vehicle,12.358174,77.638214,0.54,0.5124,0.2793,0.5367,52.49,20.58,,,0,0,0.0,,0.0,0.0
V-00121,vehicle,25.244149,55.292652,0.873,0.7865,0.4102,0.5985,39.59,88.29,,,0,0,0.0,,0.0,0.0
V-00122,vehicle,25.104057,55.396974,0.1718,0.2632,0.0568,0.392,63.35,32.24,,,0,0,0.0,,0.0,0.0
V-00123,vehicle,14.614887,75.120411,0.3971,0.5429,0.3482,0.681,45.27,68.96,,,0,0,0.0,,0.0,0.0
V-00124,vehicle,15.312583,75.520476,0.9667,0.9353,0.6708,0.81,42.31,71.83,,,0,0,0.0,,0.0,0.0
V-00125,vehicle,15.940563,74.368474,0.0813,0.3535,0.1072,0.7289,53.18,20.47,,,0,0,0.0,,0.0,0.0
V-00126,ship,19.762389,62.280372,0.1413,0.1513,0.0632,0.1398,11.68,92.64,Karnataka-Oman-Dubai,CONVOY-243,5,1,1.18,calm,0.0,0.6151
V-00127,vehicle,15.086259,75.157504,0.7754,0.7422,0.3983,0.7018,46.23,61.13,,,0,0,0.0,,0.0,0.0
V-00128,vehicle,13.37338,76.774036,0.6145,0.7141,0.6168,0.672,41.23,61.01,,,0,0,0.0,,0.0,0.0
V-00129,vehicle,25.164314,55.305216,0.1684,0.193,0.0754,0.2974,70.87,61.63,,,0,0,0.0,,0.0,0.0
V-00130,vehicle,12.954535,77.496209,0.736,0.9856,0.7315,0.8579,39.43,99.48,,,0,0,0.0,,0.0,0.0
V-00131,vehicle,25.198763,55.295761,0.7998,0.6293,0.1852,0.5255,58.45,62.03,,,0,0,0.0,,0.0,0.0
V-00132,vehicle,13.177631,74.788639,0.4548,0.7536,0.2048,0.661,49.57,38.49,,,0,0,0.0,,0.0,0.0
V-00133,vehicle,13.169444,77.551647,0.0907,0.5278,0.2348,0.7421,53.37,79.36,,,0,0,0.0,,0.0,0.0
V-00134,vehicle,25.234417,55.284049,0.3072,0.2447,0.0627,0.2722,68.39,78.63,,,0,0,0.0,,0.0,0.0
V-00135,vehicle,15.035983,75.062096,0.5182,0.5853,0.2782,0.5777,58.66,41.98,,,0,0,0.0,,0.0,0.0
V-00136,vehicle,12.397387,76.615799,0.4512,0.5168,0.281,0.5421,63.52,77.64,,,0,0,0.0,,0.0,0.0
V-00137,vehicle,25.200472,55.297818,0.2443,0.1756,0.0915,0.3137,70.21,82.76,,,0,0,0.0,,0.0,0.0
V-00138,vehicle,13.971835,75.720984,0.5649,0.4764,0.1894,0.6131,51.13,28.87,,,0,0,0.0,,0.0,0.0
V-00139,vehicle,14.545624,75.976193,0.1718,0.5556,0.1862,0.3583,58.93,47.89,,,0,0,0.0,,0.0,0.0
V-00140,vehicle,12.983082,74.73116,0.6777,0.6428,0.4283,0.7872,38.03,87.58,,,0,0,0.0,,0.0,0.0
V-00141,vehicle,13.141988,77.56802,0.6979,0.8414,0.5937,0.7907,37.85,22.3,,,0,0,0.0,,0.0,0.0
V-00142,vehicle,25.340676,55.346161,0.1509,0.2889,0.0357,0.3655,62.64,40.42,,,0,0,0.0,,0.0,0.0
V-00143,vehicle,25.136984,55.208565,0.1993,0.1363,0.0359,0.4551,57.67,64.28,,,0,0,0.0,,0.0,0.0
V-00144,vehicle,25.201625,55.345275,0.0803,0.2402,0.0214,0.3309,72.72,61.8,,,0,0,0.0,,0.0,0.0
V-00145,vehicle,15.382368,74.238939,0.1437,0.4983,0.2328,0.4688,67.33,25.52,,,0,0,0.0,,0.0,0.0
V-00146,vehicle,25.200461,55.163239,0.9617,0.6588,0.4255,0.5403,30.72,62.06,,,0,0,0.0,,0.0,0.0
V-00147,vehicle,12.549091,75.050784,0.1812,0.467,0.2126,0.4983,77.39,81.79,,,0,0,0.0,,0.0,0.0
V-00148,vehicle,12.945257,74.924324,0.3593,0.5182,0.2931,0.4498,65.07,58.89,,,0,0,0.0,,0.0,0.0
V-00149,vehicle,13.209128,75.903136,0.1023,0.5648,0.0761,0.6798,62.23,65.05,,,0,0,0.0,,0.0,0.0
V-00150,vehicle,25.06211,55.163393,0.5414,0.4044,0.1433,0.5301,50.24,22.79,,,0,0,0.0,,0.0,0.0
V-00151,vehicle,25.0982,55.173622,0.1838,0.3267,0.086,0.3303,75.74,55.27,,,0,0,0.0,,0.0,0.0
V-00152,vehicle,15.31267,74.870529,0.1464,0.3078,0.2332,0.5389,60.31,23.83,,,0,0,0.0,,0.0,0.0
V-00153,vehicle,12.826994,77.720034,0.4136,0.4774,0.3876,0.7334,58.86,77.3,,,0,0,0.0,,0.0,0.0
V-00154,vehicle,25.084154,55.126154,0.5395,0.3301,0.104,0.3181,58.14,71.12,,,0,0,0.0,,0.0,0.0
V-00155,vehicle,25.206654,55.295142,0.4628,0.4653,0.1319,0.4017,66.44,92.15,,,0,0,0.0,,0.0,0.0
V-00156,vehicle,25.066011,55.160005,0.9564,0.6741,0.4668,0.5729,40.55,96.23,,,0,0,0.0,,0.0,0.0
V-00157,vehicle,16.200849,74.805807,0.1404,0.3717,0.2186,0.4555,58.03,84.81,,,0,0,0.0,,0.0,0.0
V-00158,vehicle,15.606259,75.04962,0.5236,0.795,0.586,0.7253,37.21,92.79,,,0,0,0.0,,0.0,0.0
V-00159,vehicle,25.111582,55.229838,0.1417,0.2189,0.0147,0.5389,52.99,28.39,,,0,0,0.0,,0.0,0.0
V-00160,vehicle,25.200631,55.329661,0.5866,0.4152,0.167,0.4494,57.34,43.96,,,0,0,0.0,,0.0,0.0
V-00161,vehicle,25.194291,55.335743,0.2678,0.2971,0.0397,0.2962,76.87,23.92,,,0,0,0.0,,0.0,0.0
V-00162,vehicle,25.124236,55.443471,0.3032,0.2761,0.0593,0.4101,64.21,79.39,,,0,0,0.0,,0.0,0.0
V-00163,vehicle,25.137066,55.17641,0.4991,0.3212,0.1584,0.4677,67.06,38.85,,,0,0,0.0,,0.0,0.0
V-00164,vehicle,25.199465,55.259497,0.3099,0.1245,0.0859,0.3372,74.27,55.9,,,0,0,0.0,,0.0,0.0
V-00165,vehicle,14.413521,74.903585,0.1226,0.5168,0.1855,0.4449,69.96,77.77,,,0,0,0.0,,0.0,0.0
V-00166,ship,19.484558,62.740166,0.1788,0.2737,0.158,0.1885,11.07,86.58,Karnataka-Oman-Dubai,CONVOY-262,5,2,0.9,rough,0.0,0.5969
V-00167,vehicle,25.275936,55.283981,0.0952,0.2282,0.0647,0.2611,78.95,97.87,,,0,0,0.0,,0.0,0.0
V-00168,vehicle,14.337334,75.422361,0.1832,0.4753,0.1878,0.6188,62.52,94.43,,,0,0,0.0,,0.0,0.0
V-00169,vehicle,12.502769,77.464578,0.4382,0.494,0.2546,0.5917,55.83,70.82,,,0,0,0.0,,0.0,0.0
V-00170,vehicle,14.903609,75.600937,0.6857,0.8224,0.6542,0.7951,35.31,58.93,,,0,0,0.0,,0.0,0.0
V-00171,vehicle,25.087458,55.167504,0.7782,0.5659,0.2685,0.4155,51.79,61.76,,,0,0,0.0,,0.0,0.0
V-00172,vehicle,13.318287,75.169855,0.2758,0.2812,0.1872,0.3647,64.05,40.77,,,0,0,0.0,,0.0,0.0
V-00173,vehicle,25.063051,55.137552,0.3254,0.3238,0.023,0.2926,72.05,73.19,,,0,0,0.0,,0.0,0.0
V-00174,vehicle,25.251786,55.344166,0.9738,0.7349,0.2843,0.4332,48.53,73.36,,,0,0,0.0,,0.0,0.0
V-00175,ship,21.037588,60.8668,0.2361,0.2407,0.0855,0.0499,23.82,70.53,Karnataka-MidSea-Dubai,CONVOY-223,5,3,1.0,calm,0.0,0.7018
V-00176,vehicle,14.626464,75.746049,0.4343,0.716,0.2189,0.5828,66.8,83.82,,,0,0,0.0,,0.0,0.0
V-00177,vehicle,13.074229,77.954836,0.9234,0.9091,0.6467,0.7326,39.66,33.87,,,0,0,0.0,,0.0,0.0
V-00178,vehicle,12.890766,74.745413,0.7707,0.9579,0.927,0.7127,44.14,60.38,,,0,0,0.0,,0.0,0.0
V-00179,vehicle,14.779791,75.501671,0.5792,0.5228,0.1627,0.6689,42.8,72.52,,,0,0,0.0,,0.0,0.0
V-00180,vehicle,13.872747,75.901224,0.9122,0.8301,0.6019,0.864,34.34,69.58,,,0,0,0.0,,0.0,0.0
V-00181,vehicle,25.165943,55.255259,0.2937,0.3071,0.0149,0.4778,52.78,43.44,,,0,0,0.0,,0.0,0.0
V-00182,vehicle,25.142512,55.416391,0.752,0.5878,0.2819,0.4949,49.76,29.56,,,0,0,0.0,,0.0,0.0
V-00183,vehicle,13.741579,76.870841,0.5486,0.6961,0.186,0.4454,60.38,88.04,,,0,0,0.0,,0.0,0.0
V-00184,vehicle,25.059055,55.158462,0.253,0.2533,0.0822,0.4324,58.07,22.49,,,0,0,0.0,,0.0,0.0
V-00185,vehicle,25.311241,55.324419,0.2566,0.1538,0.0795,0.304,66.28,89.69,,,0,0,0.0,,0.0,0.0
V-00186,vehicle,15.501054,75.290754,0.1932,0.5011,0.0963,0.5327,57.52,84.52,,,0,0,0.0,,0.0,0.0
V-00187,vehicle,12.128813,76.163008,0.619,0.753,0.4256,0.6508,41.87,84.14,,,0,0,0.0,,0.0,0.0
V-00188,vehicle,15.640641,74.83633,0.1441,0.477,0.2121,0.4892,63.3,55.59,,,0,0,0.0,,0.0,0.0
V-00189,ship,21.481218,59.864907,0.8196,0.4905,0.2325,0.2225,20.31,86.1,Karnataka-Oman-Dubai,CONVOY-105,2,1,2.12,calm,0.0,0.763
V-00190,vehicle,16.021075,74.481062,0.3665,0.7588,0.1804,0.8534,41.75,35.58,,,0,0,0.0,,0.0,0.0
V-00191,vehicle,15.117794,74.538718,0.2675,0.3412,0.1772,0.4491,56.8,34.69,,,0,0,0.0,,0.0,0.0
V-00192,vehicle,25.105633,55.145326,0.963,0.5509,0.5356,0.6139,32.27,54.76,,,0,0,0.0,,0.0,0.0
V-00193,vehicle,25.111364,55.211445,0.9312,0.7565,0.3835,0.5744,51.96,38.57,,,0,0,0.0,,0.0,0.0
V-00194,vehicle,15.74136,74.469501,0.4664,0.6259,0.3898,0.5795,64.4,82.52,,,0,0,0.0,,0.0,0.0
V-00195,vehicle,25.155706,55.171752,0.5312,0.4681,0.0525,0.3382,57.33,65.32,,,0,0,0.0,,0.0,0.0
V-00196,ship,20.518206,61.71256,0.9787,0.59,0.5143,0.2072,12.39,51.32,Karnataka-MidSea-Dubai,CONVOY-067,5,5,1.91,calm,0.0,0.6524
V-00197,vehicle,15.921506,74.495064,0.3464,0.577,0.2671,0.7232,66.13,29.76,,,0,0,0.0,,0.0,0.0
V-00198,vehicle,25.119418,55.384889,0.6057,0.392,0.1359,0.4138,68.96,95.16,,,0,0,0.0,,0.0,0.0
V-00199,vehicle,25.178095,55.255208,0.961,0.607,0.5169,0.4829,42.66,72.92,,,0,0,0.0,,0.0,0.0
V-00200,vehicle,15.86855,74.617271,0.7375,0.9214,0.6042,0.9578,30.01,97.55,,,0,0,0.0,,0.0,0.0
V-00201,vehicle,25.105067,55.350089,0.5511,0.2887,0.0905,0.6005,45.17,71.99,,,0,0,0.0,,0.0,0.0
V-00202,vehicle,13.651648,76.419396,0.1007,0.4354,0.1031,0.383,75.34,94.43,,,0,0,0.0,,0.0,0.0
